HRR,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months",senior_ratio,population_density,hospital_utilization
*Based on a 50% reduction in occupancy,569.0,1036.0,63.0,109.0,493628.0,102892.0,98726.0,20988.0,4559.0,1399.0,248.0,134.0,92.0,700.0,124.0,67.0,46.0,456.0,81.0,44.0,30.0,304.0,488.0,272.0,189.0,152.0,243.0,136.0,94.0,99.0,158.0,89.0,62.0,0.2084403639988007,331.2939597315436,0.6181208053691275
"Abilene, TX",565.0,772.0,68.0,98.0,226444.0,50412.0,45289.0,9563.0,2090.0,638.0,113.0,83.0,65.0,319.0,56.0,41.0,33.0,208.0,37.0,27.0,21.0,139.0,204.0,142.0,109.0,70.0,103.0,71.0,55.0,45.0,66.0,46.0,35.0,0.2226245782621752,231.065306122449,0.423469387755102
"Akron, OH",518.0,938.0,94.0,140.0,547990.0,111042.0,109598.0,22933.0,4959.0,1529.0,295.0,163.0,113.0,764.0,147.0,81.0,56.0,499.0,96.0,53.0,37.0,331.0,352.0,236.0,178.0,165.0,176.0,118.0,89.0,108.0,115.0,77.0,58.0,0.2026350845818354,403.5272459499264,0.6185567010309279
"Alameda County, CA",665.0,1680.0,139.0,216.0,1310189.0,214991.0,262038.0,53872.0,11400.0,3591.0,540.0,214.0,133.0,1796.0,270.0,107.0,67.0,1171.0,176.0,70.0,43.0,760.0,547.0,352.0,259.0,380.0,273.0,176.0,130.0,248.0,178.0,115.0,85.0,0.1640915928923231,486.1554730983302,0.7532467532467533
"Albany, GA",221.0,462.0,27.0,43.0,157143.0,30466.0,31429.0,6550.0,1410.0,437.0,198.0,95.0,62.0,218.0,99.0,47.0,31.0,142.0,64.0,31.0,20.0,94.0,348.0,219.0,157.0,47.0,174.0,109.0,78.0,31.0,115.0,72.0,52.0,0.1938743692051189,223.21448863636363,0.6860795454545454
"Albany, NY",1579.0,3191.0,193.0,309.0,1477723.0,318695.0,295545.0,62209.0,13545.0,4147.0,263.0,130.0,86.0,2074.0,131.0,65.0,43.0,1352.0,86.0,42.0,28.0,903.0,468.0,292.0,212.0,452.0,234.0,146.0,106.0,294.0,152.0,95.0,69.0,0.2156662649224516,307.6026228143214,0.6713155703580349
"Albuquerque, NM",1102.0,2005.0,161.0,270.0,1336795.0,279457.0,267359.0,56108.0,12174.0,3741.0,339.0,187.0,129.0,1870.0,170.0,93.0,64.0,1220.0,111.0,61.0,42.0,812.0,504.0,301.0,214.0,406.0,252.0,150.0,107.0,265.0,165.0,98.0,70.0,0.2090500039273037,459.695667125172,0.6210453920220083
"Alexandria, LA",402.0,660.0,20.0,31.0,221597.0,44519.0,44319.0,9266.0,2002.0,618.0,154.0,94.0,67.0,309.0,77.0,47.0,34.0,201.0,50.0,30.0,22.0,133.0,665.0,429.0,309.0,67.0,335.0,216.0,156.0,44.0,220.0,142.0,102.0,0.2009007342157159,241.6543075245365,0.5616139585605234
"Allentown, PA",1267.0,2267.0,143.0,238.0,960572.0,207376.0,192114.0,40442.0,8807.0,2696.0,213.0,119.0,83.0,1348.0,106.0,59.0,41.0,879.0,69.0,39.0,27.0,587.0,410.0,247.0,176.0,294.0,206.0,124.0,88.0,191.0,134.0,80.0,57.0,0.215888033380111,294.02265074992346,0.6121824303642485
"Altoona, PA",234.0,394.0,27.0,44.0,234560.0,56483.0,46912.0,9986.0,2203.0,666.0,285.0,169.0,120.0,333.0,142.0,85.0,60.0,217.0,93.0,55.0,39.0,147.0,544.0,334.0,241.0,73.0,270.0,166.0,120.0,48.0,178.0,109.0,79.0,0.2408040586630286,422.6306306306306,0.5783783783783784
"Amarillo, TX",678.0,957.0,79.0,137.0,332671.0,61267.0,66534.0,13806.0,2955.0,920.0,136.0,96.0,74.0,460.0,68.0,48.0,37.0,300.0,44.0,31.0,24.0,197.0,249.0,144.0,102.0,98.0,124.0,72.0,51.0,64.0,81.0,47.0,33.0,0.1841669397092021,269.1512944983819,0.4514563106796116
"Anchorage, AK",533.0,1058.0,55.0,93.0,551912.0,74327.0,110382.0,22385.0,4656.0,1492.0,280.0,141.0,94.0,746.0,140.0,71.0,47.0,487.0,91.0,46.0,31.0,310.0,564.0,333.0,238.0,155.0,282.0,167.0,119.0,101.0,184.0,109.0,78.0,0.1346718317412921,348.6493998736576,0.6632975363234366
"Ann Arbor, MI",876.0,1945.0,122.0,264.0,1115589.0,209105.0,223118.0,46365.0,9942.0,3091.0,353.0,159.0,103.0,1546.0,176.0,79.0,51.0,1008.0,115.0,52.0,33.0,663.0,543.0,251.0,163.0,331.0,271.0,125.0,82.0,216.0,177.0,82.0,53.0,0.1874391016763342,370.135700066357,0.7093563370935634
"Appleton, WI",222.0,335.0,37.0,54.0,254546.0,52373.0,50909.0,10668.0,2310.0,711.0,320.0,212.0,159.0,356.0,160.0,106.0,79.0,232.0,105.0,69.0,52.0,154.0,416.0,285.0,214.0,77.0,208.0,143.0,107.0,50.0,135.0,93.0,69.0,0.2057506305343631,568.1830357142857,0.5044642857142857
"Arlington, VA",995.0,2055.0,173.0,312.0,1909537.0,270129.0,381907.0,77695.0,16225.0,5180.0,521.0,252.0,166.0,2590.0,260.0,126.0,83.0,1689.0,170.0,82.0,54.0,1082.0,625.0,347.0,240.0,541.0,313.0,173.0,120.0,353.0,204.0,113.0,78.0,0.1414630876489955,612.8167522464698,0.6806803594351734
"Asheville, NC",556.0,1048.0,76.0,154.0,553131.0,146572.0,110626.0,23804.0,5316.0,1587.0,285.0,151.0,103.0,793.0,143.0,76.0,51.0,517.0,93.0,49.0,34.0,354.0,466.0,230.0,153.0,177.0,233.0,115.0,76.0,116.0,153.0,75.0,50.0,0.2649860521287001,358.94289422452954,0.6391953277092797
"Atlanta, GA",3338.0,8059.0,436.0,1029.0,5027281.0,799338.0,1005456.0,206224.0,43511.0,13748.0,412.0,171.0,108.0,6874.0,206.0,85.0,54.0,4483.0,134.0,56.0,35.0,2901.0,665.0,282.0,179.0,1450.0,333.0,141.0,89.0,946.0,217.0,92.0,58.0,0.1590000638516128,393.3709702660407,0.7388106416275431
"Augusta, GA",831.0,1512.0,106.0,227.0,540242.0,105665.0,108048.0,22537.0,4854.0,1502.0,181.0,99.0,68.0,751.0,90.0,50.0,34.0,490.0,59.0,32.0,22.0,324.0,306.0,143.0,93.0,162.0,153.0,71.0,46.0,106.0,100.0,47.0,30.0,0.1955882734034007,246.23609845031905,0.6212397447584321
"Aurora, IL",286.0,406.0,25.0,40.0,245644.0,34035.0,49129.0,9981.0,2081.0,665.0,233.0,164.0,126.0,333.0,116.0,82.0,63.0,217.0,76.0,53.0,41.0,139.0,556.0,348.0,253.0,69.0,276.0,173.0,125.0,45.0,180.0,113.0,82.0,0.1385541678200973,466.11764705882354,0.4573055028462998
